,0
0,-74672.54999999999
1,-73443.3
2,-73865.05
3,-72100.2
4,-71550.4
5,-71122.15
6,-69542.3
7,-68851.65
8,-68367.25
9,-69756.3
10,-69207.25
11,-66298.95
12,-68650.6
13,-64925.3
14,-63364.899999999994
15,-64548.04999999999
16,-66931.75
17,-65727.2
18,-66837.0
19,-66061.25
20,-64748.25
21,-69159.45
22,-65064.2
23,-66081.15
24,-66808.1
25,-64535.299999999996
26,-67738.0
27,-69353.15
28,-68201.04999999999
29,-68025.65
30,-67824.5
31,-64395.75
32,-69316.2
33,-67910.15
34,-70130.75
35,-64612.149999999994
36,-66614.4
37,-65568.85
38,-65755.05
39,-67497.9
40,-68970.55
41,-63896.8
42,-66472.3
43,-67140.55
44,-67407.7
45,-70118.25
46,-67738.9
47,-65753.6
48,-65092.6
49,-65212.8
50,-65715.5
51,-65562.09999999999
52,-68998.75
53,-64600.649999999994
54,-65122.1
55,-66980.4
56,-67635.9
57,-68341.85
58,-64521.5
59,-66847.75
60,-65934.65
61,-65194.649999999994
62,-67052.6
63,-64815.049999999996
64,-63343.7
65,-65096.899999999994
66,-68378.5
67,-66899.45
68,-64778.4
69,-67873.29999999999
70,-67635.3
71,-64053.34999999999
72,-69179.95
73,-65765.1
74,-68140.29999999999
75,-64116.95
76,-66949.2
77,-65713.9
78,-66422.9
79,-67346.6
80,-66081.6
81,-67693.55
82,-63277.399999999994
83,-65334.0
84,-62557.95
85,-66406.0
86,-64249.24999999999
87,-66738.0
88,-67867.05
89,-67649.6
90,-64743.8
91,-71186.25
92,-67604.8
93,-65788.15
94,-66284.15
95,-68730.45
96,-67521.65
97,-67318.15
98,-69401.7
99,-63319.5
100,-66135.84999999999
101,-67191.54999999999
102,-64053.75
103,-64837.399999999994
104,-66556.75
105,-64769.7
106,-62425.45
107,-67984.0
108,-69034.65
109,-65109.0
110,-65956.2
111,-64263.649999999994
112,-65973.5
113,-63276.3
114,-68564.45
115,-62697.899999999994
116,-66198.1
117,-63832.3
118,-66801.0
119,-68192.35
120,-65059.45
121,-63627.25
122,-67655.05
123,-67730.4
124,-67605.5
125,-64837.55
126,-65888.75
127,-60017.75
128,-65412.649999999994
129,-63843.5
130,-68042.2
131,-64856.45
132,-63731.95
133,-63997.7
134,-63603.9
135,-68996.75
136,-63850.649999999994
137,-67810.70000000001
138,-62976.399999999994
139,-65859.4
140,-66025.8
141,-65964.65
142,-67491.2
143,-64909.25
144,-64382.649999999994
145,-67947.4
146,-65290.2
147,-66176.95
148,-65702.45
149,-66102.55
150,-67076.34999999999
151,-69288.05
152,-65534.3
153,-65960.8
154,-67765.20000000001
155,-64840.850000000006
